name,host_id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,days_since_last_review,price_bin,price_per_day,is_premium,price_log
Lovely duplex apartment,5082630,Westerpark,52.38094,4.87048,Entire Home,223.0,2,0,,0.0,1,0,0,4197.0,$201-500,223.0,False,5.4116460518550396
Gezellig appartement NDSM-werf,11544281,Oud-Noord,52.40245,4.8896,Entire Home,119.0,4,0,,0.0,1,53,0,4197.0,$101 -200,2.2037037037037037,False,4.787491742782046
Bed in 8 Bed Dorm,237150404,Centrum-West,52.3767452,4.8961103,Shared Room,50.0,1,0,,0.0,13,103,0,4197.0,$0-50,0.4807692307692308,False,3.9318256327243257
Bed in 6 Bed Female Dorm Ensuite,237150404,Centrum-West,52.3767452,4.8961103,Shared Room,55.0,1,0,,0.0,13,103,0,4197.0,$51-100,0.5288461538461539,False,4.02535169073515
Queensized Bunk Bed in 32 Bed,237150404,Centrum-West,52.37616526,4.895307748,Shared Room,66.0,1,0,,0.0,13,103,0,4197.0,$51-100,0.6346153846153846,False,4.204692619390966
Queensized Bunk Bed in a 18 Bed,237150404,Centrum-West,52.3767452,4.8961103,Shared Room,70.0,1,0,,0.0,13,101,0,4197.0,$51-100,0.6862745098039216,False,4.2626798770413155
Queensized Bunk Bed in 16 Bed,237150404,Centrum-West,52.37776568,4.895747878,Shared Room,72.0,1,0,,0.0,13,103,0,4197.0,$51-100,0.6923076923076923,False,4.290459441148391
Queensized Bunk Bed in 14 Bed,237150404,Centrum-West,52.3767452,4.8961103,Shared Room,75.0,1,0,,0.0,13,103,0,4197.0,$51-100,0.7211538461538461,False,4.330733340286331
Queensize Bunk Bed in 12 Bed,237150404,Centrum-West,52.3767452,4.8961103,Shared Room,77.0,1,0,,0.0,13,103,0,4197.0,$51-100,0.7403846153846154,False,4.356708826689592
Queensized Bunk Bed in 10 Bed,237150404,Centrum-West,52.3767452,4.8961103,Shared Room,81.0,1,0,,0.0,13,103,0,4197.0,$51-100,0.7788461538461539,False,4.406719247264253
Queensized Bunk Bed in 6 Bed,237150404,Centrum-West,52.3767452,4.8961103,Shared Room,87.0,1,0,,0.0,13,103,0,4197.0,$51-100,0.8365384615384616,False,4.477336814478207
Double Ensuite Room,237150404,Centrum-West,52.3767452,4.8961103,Private Room,239.0,1,0,,0.0,13,0,0,4197.0,$201-500,239.0,False,5.480638923341991
Private 4 Bedroom Ensuite,237150404,Centrum-West,52.37751591,4.897094084,Private Room,264.0,1,0,,0.0,13,103,0,4197.0,$201-500,2.5384615384615383,False,5.579729825986222
History and luxury,566674150,Centrum-West,52.37384,4.89189,Entire Home,224.0,1,16,2025-06-01,5.93,2,323,16,31.0,$201-500,0.691358024691358,False,5.41610040220442
Family Apartment | The July - Twenty Eight,249828335,Zuid,52.34391572,4.856237847,Entire Home,440.0,1,1,2025-04-17,0.48,4,355,1,76.0,$201-500,1.2359550561797752,True,6.089044875446846
"Iconic 1632 Canal House (1900+ sq ft, Renovated)",276812090,Centrum-Oost,52.364636,4.884583,Entire Home,1115.0,2,6,2025-04-13,1.07,1,343,6,80.0,$500+,3.241279069767442,True,7.017506142941256
Estudio a 15 minutos del centro,201044625,Bos en Lommer,52.37547,4.84588,Entire Home,193.0,3,1,2025-04-13,0.45,2,356,1,80.0,$101 -200,0.5406162464985994,False,5.267858159063328
Family Apartment | The July - Boat&Co,281658595,Westerpark,52.3943764,4.8820033,Entire Home,491.0,1,0,,0.0,4,333,0,4197.0,$201-500,1.470059880239521,True,6.198478716492308
Appartement naast het Vondelpark,411419847,De Baarsjes - Oud-West,52.35924333,4.858178563,Entire Home,290.0,1,0,,0.0,1,211,0,4197.0,$201-500,1.3679245283018868,False,5.673323267171493
Sunny room with gorgeous views,13881562,Slotervaart,52.34775171,4.834480322,Private Room,127.0,2,1,2025-05-19,1.0,1,277,1,44.0,$101 -200,0.4568345323741007,False,4.852030263919617
"Fully equipped, cosy appartment in De Baarsjes",74788912,De Baarsjes - Oud-West,52.36745095,4.853371098,Entire Home,176.0,3,6,2025-05-22,0.94,1,289,6,41.0,$101 -200,0.6068965517241379,False,5.176149732573829
